Project_Name,Default_Branch
BorisUytterhaegen_HLG-PDSystem,master
BramMoons_DataViz,master
Brewcast_Pure-Data_Patches,master
Brudasoe_TESP2018,master
BrumisateurGaming_PDProject,master
Brunoarico_ESP_Heart_OSC,master
Brunoarico_LedBar,main
BryceFury_Glitchr,master
BuckHollowMaple_Music-Converter,master
BunniPlz_EarEEG,master
BunniPlz_Home_Automation_OpenBCI,master
BurmasGG_Glovebois,master
ByronBecker_MusclePaint,master
C-money_box,master
CA4AN_MixerJacoboyLee,master
CA4AN_loquequerais,master
CA4AN_pure-data,master
CA4AN_pure-data-Videojuegos,master
CA4AN_pure-data-Videojuegos-2,master
CA4AN_pure-data-human-interface-device,master
CA4AN_pure-data-midi,master
CAS-FAMU_gitExample,master
CICM_CicmLeap,master
CICM_CreamLibrary,camo-dev
CICM_HoaLibrary,master
CICM_HoaLibrary-PD,master
CICM_PotPourri,master
CICM_pd-faustgen,master
CJacquou_pd_oldschool_synth,master
CL-window_patchfield,master
CNMAT_CNMAT-odot,master
CNMAT_OSC,master
CPonty_reactivision-midi-server,master
CRI-MotionLab_Movuina,master
CRI-MotionLab_movuino-firmware,master
CRI-MotionLab_movuino-firmware-esp32,master
CamiloVict_Sinestesia,master
CanicsMotion_OP-J,master
CarloCattano_Samplero,main
CarloCattano_oscAutomataPD,master
Carmenpck_ADC,master
Carmenpck_ADC2,master
Carmenpck_WebPd,master
CarrollUMusic_CLIME,master
Ccisneros910_Heart-Beat,master
ChairmanHoltz_pd-patch-project,main
ChangingPlaces_GeoBits,master
ChangingPlaces_SimPharma,master
Chaosinism_SlowSampler,master
CharlesRainville_Environnemental-Music-System,master
CharlesRainville_System4_PureData,master
CharlieMcVicker_pd,main
Childerique_Sampler,master
Chillaruna_Ljud,master
Chris-TopherW_Wavetable,master
ChrisMicro_ESPTINY86_Mixtape,master
ChristianFrisson_DeviceCycle,master
CianMoriarty99_PureData,master
CinnaP_CONVIT_JACINTO,master
CircuitLab_ponkikki_propera,master
CityTIM-CLC_CLCScope,master
ClericMT_freq-recognition,main
CocoMake7Addons_CocoMidi,master
CocoMake7Addons_CocoTouch,master
CoderSTw_GuitarTuner-iOS,master
Coding-Sound_SoundDesign,master
Cohnan_PianoCapacitivo,master
Colecf_BallDropper,master
Collab-Hub-io_Collab-Hub-Pd-Client,main
Collab-Hub-io_HW-Collab-Hub-Workshop,main
CollectifAAIO_symbiotes,master
Colombiano_wheelchair,master
ColumbaEspitia_Proyecto1Programaci-nInteractiva,master
ComfortableSoftware-DEV_sketchbook,master
Comm512-1_DRaaJBank,master
ConstellationLanguage_Constellation-OSC,master
CorentinMainix_Leap-Synth,master
Cortexelus_SonifiedAuto,master
CoulombeRemi_MUS3324,master
CoulombeRemi_lutterie_projet_01,master
CrazyRobMiles_PureData,main
CreativeCodingPL_SonicInteraction,master
CristianoLopes_Jogodebola,master
CristobalPerez-Cotapos_Repositorio-de-practica,master
Croge32_arduinostuff,master
CymaSpace_Programs---Sketches,master
Cynlic_clj-pd,master
CyrCom_PurrDataPatches,master
Cyramix_openwonderland-modules,master
DINKIN_Modipulate,master
DIYdestruction_DIYDestruction,master
DJMiddleton_Experimental-IDS-Sonifier,master
DKaman_pure-data,master
DMWR_cardboard-trainer,master
DanHartman_fbvRemote,master
DanHartman_midiToCueMixVariLPF,master
DanHartman_piDSP,master
DanKDorda_pd-guitar-looper,master
DanXL_Clases,master
Daniel-McKemie_study-48-2-1-realization,master
DanielAlvarezCastro_audio-researches,master
DanielCardonaRojas_cc_lib,master
DanielCardonaRojas_ofxPd-Apps,master
DanielCardonaRojas_percussionGestureApp,master
DanielCardonaRojas_rjlib-mods,master
DanielZhong_UCSC_Coursework,master
DannyBanchon_UTUPS,master
Daringing_puredata_musicplayer,main
Dariush-Mehdiaraghi_bachelor_project,main
DarkEcoAudio_PDVehicle,master
DarwinEcosystem_The_Cognitive_Story_Chapter_1,master
DataPaulette_KnitHack_KH940,master
DataPaulette_Tapis_sensitif,master
DatanoiseTV_AudioOSv2-buildroot,master
DaveSeidel_OSCsound,master
DaveVG1_PureData,master
David-Acosta-UG_PI-Proyecto_Final,master
DavidDirks_SoundSystem,master
DavidLopezS_Harsh_Noise_Synth,master
DavidLopezS_PD_Sequencer,master
DavideFarina96_MIS_Project,master
Ddange03_PATCH-OIANT-TRIGGER,master
Derek-Hs_singingGlassesApp,added-Pd
Dexterminator_syntone,master
DiegoPE10_VideoLAB,main
Diex_maimo-processing,master
DifferentialPupil_PD-KNN,main
Digitopia_Gamult,master
Digitopia_uTubo,master
DionysosBacco_Accento,master
DiscoveryGroup_musicreatures,master
Divoolej_OB-Wan,master
Dj-Viking_meetTheReplacements,master
Dlol_PDOME,master
Doedelzak_puredata,master
DolicaAkelloEgwel_learning-pure-data,master
DorAndy_https---github.com-DorAndy-VR_Gruppenarbeit,master
DrDub_pdfile,master
DrDub_pdtextgen,master
DrGrimshaw_game-audio-engine,master
DrTomFlint_ArduinoCode,master
Dracir_semicolon,master
DrazenHizakowski_PureDataParticles,master
Dreadbond_Arcanuino,master
DrexelEGS_WarOfTheWorlds,master
DropletKitchen_strobe,master
DuccMan99_coolfile93,main
DusterTheFirst_framework-arduinoteensy-better-ffi,master
DvdChe_PureData,master
ECE3400-FA18-Group21_Lab,master
ECH1996_Trabajo-final-pure-data-y-processing,master
EDNI_copenhagen_weather_forecast_semi_procedural_music_maker,master
ELVIS-Project_VIS-for-Pd,master
EMC23_TrumBela,master
EPiCS_soundgates,master
EQ4_3DTI-cross-platform,master
EQ4_808-thing,master
EQ4_Buffers,master
EQ4_EarWeGo,master
EQ4_GarageAcidLab,master
EQ4_Harpa-Analyzer,master
EQ4_MC-Sonaar,master
EQ4_MarkovOrchestra,master
EQ4_PD-wfs,master
EQ4_Pd-for-LibPd,master
EQ4_PdPulpito,master
EQ4_Subtractor-Clone,master
EQ4_autotuned-,master
EQ4_ix7,master
EQ4_jample,master
EQ4_live-to-js,master
EQ4_miss,master
EQ4_mmb,master
EQ4_patchfield,master
EQ4_pd-acid-core,master
EQ4_pd-polyblep,master
EQ4_pdx7,master
EQ4_phonon,master
EQ4_physigs,master
EQ4_pulsewalk,master
EQ4_raspi-mid-fx-unit,master
EQ4_versificator,master
ETCLabs_OSCLayouts,master
Ebandin1_WiiBeat,master
EbraAljohani_oudi,master
Eckoflast_SoubSynthTest,master
EdgarDiegoo_ProgramacionInteractiva,master
Edinburgh-College-of-Art_raft-workshop-2019,master
Effigy123_15166783_EoghanClark_Lab04a,master
Elafronaut_Audio_Sonido_Procedural,main
EleazarAlba_ProyectoFinal,master
Elektromatic_Becoming,main
Elektromatic_PolyDigitakt,master
Elektromatic_circleMaps,master
Elektromatic_majorBlues,master
Elektromatic_oneOverfTester,master
Elektromatic_outsideSet,master
Elektromatic_paulStretch,master
Elektromatic_quantizerTester,master
Elektromatic_turingTester,master
EllyBee_sunrise,master
Emceelamb_math-tools,master
Emceelamb_nime,master
EmilZahariev_CS3220GroupA,master
EmilZahariev_MyWorkAndAssignments,master
EmilZahariev_rhul-daa-artistic,master
Endut_Quarks,master
EnjambreBit_blender_pd,master
EnnyWonderer_7MU009,master
EnocMP_PFC,master
EpicJefferson_Huracan,master
EpicJefferson_Intro-to-puredata,master
EpicJefferson_buttonOSC,master
EpicJefferson_cellphonesynth,master
Equipshare_AuctionApp,master
Eraddak_Sim-Pathie,master
Eric-Lennartson_pd-guis,main
Eric-Lennartson_pd-osci,main
Eric-Lennartson_pd-themes,main
EricLennartson_Ellipse,master
EsGeh_pdAudio,master
EsGeh_pdUtils,master
EsGeh_sdScript,master
EsGeh_sgCLib,master
EsGeh_sgDevice,master
EsGeh_structuredData,master
Esquilofreniko_code,master
EtienneOz_NikeLaPolice,master
Etza_trmxclient,master
EulerRoom_eulerroom-test,master
EvaSleva_Zodiac,master
EvertonFerreira96_hackathon-call-for-code,master
Evg33_ArduinoFHT,master
Exxu_emokit2,master
FDitlev_PD_Exam,master
FabienQuimper_selfy,master
FaedDroneLogistics_FAED-Project,master
Farmijo_PD-vocoder-guitar,master
FatemeAnsari_OpenBCI_GUI_version5.0.0,main
FedeMITIC_MultisensoryInteractiveSystems,master
Federicoyoma_tecnomultimedial2,main
Feliszt_BTC,master
Feral-Technologies_Circles,master
Feral-Technologies_Circles-uncovered....,master
Feral-Technologies_Perspectives-on-Musical-Time,master
Feral-Technologies_Purple-Pd-Machine,master
FerranGarcia_auditory-motor-interface,master
Feulo_pd_mindflex,master
Feylasounds_GenerativeAudioGame,master
FihlaTV_moopig,master
Filk_RTC,master
FiveMu23_PureData,master
FlachyJoe_FCPD,main
FlachyJoe_FCPDWorkbench,main
FlachyJoe_FCPDWorkbench_Samples,main
Fletcher243_Creative4,master
FloHAW_avprg,master
Flowdeeps_Everything-you-love-demo,master
FlowerOfTheBridges_au4h,master
Foaly_Downsampler,master
Focusrite-Novation_r_cycle,master
FoldHaus_RadiaLumia-Sensors,master
FrancoCerone_InVis,master
FreddyG32_Test,master
FriesW_PulseSynth,master
FriesW_RibbonController,master
Fuitudestos_SCADE,master
FullKickProductions_my_modular,master
GBortoto_EP3-CM,master
GModal_AUCOP,master
GModal_pd2jack,main
GR7FF_SketchSynth,master
GTCMT_Smash,master
GTCMT_Vertices,master
GTCMT_autodrone,master
GabiThume_tecendobits,master
Gaingain_puredata_player,main
GameaudioGuru_Pd_Gunshot,master
GameaudioGuru_Spectral_analysis,master
GameaudioGuru_pd_guitarwah,master
GameaudioGuru_simpleWind,master
GanAlps_Extracting-Features-from-audio,master
Garreta11_TFGJordiGarreta,master
GaryInThailand_OWLpdWork,master
Gcosta321_Pedaleira-em-PD-para-guitarra-,master
Gcosta321_Sintese-Digital,master
GenericLab_TurbiGnUSB,master
GenieLampProject_Firefly2016-GenieLamp,master
Geoff55555_UE_Prototypage,master
GeorgieffAntoan_RSIDoppelmarsh,master
GerardFogarty_Metronome-iOS,master
Gerbyzation_kinectInstallation,master
Gerst20051_ArduinoExamples,master
Getexis_ARRAST_VJ_LIGHT,master
GiantSteps_Dr.Markov,master
GiantSteps_MTFBerlin,master
GiantSteps_house-harmonic-filler,master
GiantSteps_mtg4rbma,master
GiantSteps_pd-symbolic,master
GiantSteps_simple-song-maker,master
GiipPesquisa_ProjetoCOMO,main
Giladx_Twisty,master
Giladx_lpmtX2,master
Gillgard_Proyecto_SIG,master
Gimmeapill_midimix_button_control,master
GitBruno_Terminal-Tedium-Pd-Patches,master
GitBruno_jh.tt,master
GitBruno_pd-volka,master
GitMMuniz_AppCustico,main
Gnai_Acid_Sequetizer_PD,master
Gnai_CamSeq,master
Gnai_Markov-Chain,master
Gnai_Pure-Data-Different-waveforms-Synthesizers,master
GoldenPills_Smartpad-Tester,main
GonzaloAndreu_INTI,master
Grado0815_Cat-Sounds,master
Grapemind_reverbHoodie,master
GroovelordNito_ADC-,master
GroovelordNito_Webpd,master
GrowingCodesign_plant-radio-software,main
GrupoTecno2_TP1,main
GuiMarion_Exercises-PureData,master
Gustavomagalhaes_Processing,master
Gwion_gwion-plug,master
HEAR_infrastructure-temporaire-autonome,master
HELOpg_pd-slime,master
HEY-YEH_Seesaw,master
HMaxime_CONDUCT,master
HSBNE_atmega-18650-discharger,master
HackTheBrain_EEG-in-Virtual-reality,master
Halatir_MIA,master
HardipSroa_MelodyWizard,master
HarleyAppleChoi_ToutiloSoundPackage,master
Harleymckee_facesynth,master
HarmoniaAlia_JIK-in-Purr-Data,master
Harvie_Programs,master
Hayk55dav_esim,master
Hazamanaz_DndReactMax,master
HedronUser_Chatbot,master
HenriAugusto_EasyFlow,master
HenriAugusto_Pure-Data-Abstractions,master
HenriAugusto_PureData-ConnectHack,master
HenriAugusto_SymbolVariables,master
HenriAugusto_easyflow,master
HenriAugusto_guilla,master
HenriAugusto_pd-externals,master
Hephixor_SCADE_watch,master
HermitZHQ_reacExVer,master
HerrPaule_OSCuino,master
Heyyahe_MIDI-Programaci-n,master
Heyyahe_adc,master
HfMT-ZM4_KiSS-Fall-2019,master
HfMT-ZM4_drawsocket,master
HfSDigital_LEDTracker,master
Himito_Jamoma,master
Himito_ritmos,master
Hiroki11x_PureData_Sample,master
HugoMitsumori_compMus,master
Husky-Connor_FM-101,master
Husky-Connor_PureData_Workshop,master
Hyrasso_MAN,master
ICST-AHMI_consoleBox_code,master
ICST-AHMI_shearBox_code,master
ICST-AHMI_touchBox_code,master
IDMIL_T-Stick,main
IDMIL_implicitmap,master
IDMNYU_Creative-Coding-UG-Fall-2014,master
ISEN-MT_GAYA_SARTORIUS_cheap-SERUM,master
IT-corridor_dataextractor,master
ImanolGo_AudioOnsetImagesApp,master
ImanolGo_MurmurRenderer,master
ImanolGo_ProtoPixelDress,master
ImanolGo_SoundInteractionWorkshop,master
Imonymous_ProjectStudio,master
Indeterminado_NemmiProtoUnoPublicExperiment,main
InterLAB-UC_Mutek2019_FNG,master
InteractiveInstruments_bidirectional_instruments,master
Intrinsic-Audio_NoteLet,master
Ircam-RnD_node-pd-controller,master
Ircam-RnD_pipo-sdk,master
Ircam-RnD_xmm-soundworks-template,master
Ircam-Web_analyses-webaudio-effects,master
Irenne23_ambient_sound,main
Ishanchr_pdpatch,master
IsikcanYilmaz_puredata_base,master
Itaborala_NIME2019-AVMSV,master
Itaborala_Simple_Vibrato,master
IvanAD18_Proyecto-final-de-Programacion-interactiva,master
IvanPreciado_ProyectoProgramacionInteractiva,master
IvoFrancx_ASDsampler,master
JCPedroza_puredata,master
JKandzi_Monotone-Delay,master
JLucas5_pure-data-voice-synthesiser,master
JMC64_Terminal-Tedium-,master
JMGgit_ESP32_Projects__JMG,master
JRSV_RSVP,master
JRSV_RSVP.V3.full-vanilla,master
JRSV_jrsvAbs,master
JRSV_mapping-melodic-contour,master
JRSV_pdlisp,master
JRegimbal_crescendo,main
JRegimbal_mmi,master
JackieJ_EEGDrone,master
JacksonMcGrath_Beat-Hero,master
JacobTFH_adapted-bass,master
Jacobo99Spartan117_Luis-Jacobo-Flores-PI,master
Jade570_backtothereallife,master
Jade570_citypop_generator_v2,master
Jake-Sturgeon_speech-voice-changer,master
JakeBur_CMPM151-Midterm,master
JakeNg0424_InteractiveAudio-Unity3D-PureData,main
Jakki12_MATRIXMUSIC,master
Jakki12_RSP,master
JanCVanB_pyata,master
JayBass_Stringlessbass1-4,master
Jeff-Russ_lib-jr-pd,master
JeremyFerland_maxpath,master
JerettS_PDModular,master
Jerimee_xboxroller,master
JerryPadfield_MusicOfTheSpheres,master
JesseScott_BerlinStepSequencer,master
JesseScott_Decanter,master
JesseScott_ECU.ISMA.202,master
JesseScott_SoniCity,master
JesseScott_mxtp,master
JesseScott_royalty-free,master
JessicaThompson_triangulation-device,master
JesusPaz_PDG,master
Jiffer_FiskeAppPatches,main
Jiffer_PicoBoard,master
Jiffer_Sound-and-Technology-Pd,master
Jiffer_digitalSandbox-Pd,master
Jiffer_makedo-pd,master
Jiffer_mmArduinoPd,master
Jiffer_modular-mus,master
Jiffer_modular-muse,master
Jigglebizz_pd-rpi-sensors,master
Jmbrace_RedbirdHacksNodeCopter,master
Jnguyenpham94_test-nodejs,main
JoakuDeSotavento_Cyborg-Interface,master
JoakuDeSotavento_KungFuCyborg,master
JoeHonk_kinect-mystify,master
JoeHonk_xbox360-midi,master
JoeWrightMusic_IntegraReverseDelayTap,main
JoeWrightMusic_OSC-tools-for-PD-and-Max,master
JoeWrightMusic_RBC-SynthesisSequencingClass,main
JohnTT_teensy3_make_template,master
Jokey82_stm32synthnstuff,master
JonFranco_looper,master
JonPigrem_APP,master
Jonathhhan_PDGameofLife-shaderVersion-,main
Jonathhhan_Pure-Data-Ofelia-Emscripten,main
Jonathhhan_Pure-Data-Ofelia-GUI-example,main
Jonathhhan_PureDataGameOfLife3d,main
Jonathhhan_gameoflife,main
Jonathhhan_volumetrics_anaglyph_example_ofelia,main
Jonathhhan_volumetrics_example_ofelia,main
Jonbearr_PDSynth,master
Jorba264_PURE-DATA-DAW,master
JordanMacHardy_Michael-Boltzman-Synth,master
JorgeBlank_EverythingIsHappening,master
JorgeBlank_TwoBowls,master
JorgeBlank_UnnaturalHabitats,master
JorgeBlank_UnnaturalProcesses,master
JoseCSNeto_DissertacaoPavnext,main
JoseFuzzNo_OwlFuzzNoPatches,master
JoseFuzzNo_superSaw,master
JoseU_CodigosProgramacion-Jose,master
JoseU_Exercises-Python,master
JosephEoff_Extreme-Low-Frequency-Signal-Generator,master
JosephEoff_HeatbeatDetector,master
JosephEoff_PureData_NoiseFilter,master
JoshMock_recreations,master
JoshVigar_SpeechProj,master
JosueUriarte_Immersive-Asteroids,main
JosueUriarte_Musical-Block-Stacking,main
JuanBoho_PintandoConLaVoz,main
JuanMBonilla_MuseoMix_LiberacionSensorial,master
JuanMBonilla_UNAM_Tesis_TouchInterface,master
JuanPabloBaezaZavala_ProyectofinalPI,master
JuanPabloGiraldoSoftware_PureData-ReacTivision-Processing,master
JuanPabloGiraldoSoftware_PureData-TouchOSCApp,master
Juanpam_Pd-Project-Solar-System,master
JulieTofte_P405,master
JulienDrochon_-A_Students-Projects,master
JulienVincenot_PWGL-community-library,main
JungleJinn_Staying-Alive,master
JunhaoSu123_CMPM151,master
JustinLiang_PerfEGGct,master
K0F_2008,master
K0F_2009,master
K0F_2010,master
K0F_2011,master
K0F_2013,master
K0F_2014,master
KAZOOSH_MIMR,master
KM7_RenMin-SYTH,master
KOBAKANT_workshop_material,master
Kapsy_FreeVerbTest1,master
KarinaKorsgaard_calculator,master
KarinaKorsgaard_etk_games,master
KatrinaLiqy_instruments,master
Kaziuz_SensorfourArduino,master
Kaziuz_codesPD,master
Kaziuz_emotion-recibeMidi,master
KazutoshiKawamura_LearningPDiOS,master
KazutoshiKawamura_PdSwiftTest,master
KazutoshiKawamura_PdSynth,master
KazutoshiKawamura_PureDataTest,master
KazuyoshiUeno_pdj2,master
Keimille_PD-Patches-for-Zafira-String-Quartet-Project,master
KelvinTTTT_DaisyProjects,main
KevZhi_SingScoring,master
Killaker_Arduino,master
KirilMK_Arduino-Midi-Controller_JBG-Installation,master
Klinkenstecker_Organelle-Patches,master
Knallberto_StarrySky-Bela,master
Koryun13_Pure-Data,master
Koryun13_drum_set,master
KousikBag_ATmega16,master
KrissG17_TUI,main
Kristianengberg_AudioProcessing,master
KuulArt_Project_MOOC,master
Kwakers_phonegap-libpd-demo,master
Kyew_ZenGarden,master
KyleWerle_MOTH-7,master
KyleWerle_ancientMachine,master
L-Takebe_shinrin-zone-ashioto,master
L42C_Glass,master
L4COUR_PlantVoiceBox,main
L4COUR_PlantVoiceBox_Bela,main
LAAP_CS_RadarChart,master
LAC-EBA-UFMG_Arduino_OSC_SLIP,main
LBDonovan_bela-ide,master
LFSaw_Arduino_Classes,master
LGA_MID_PD_StringInstrument,master
LGA_MQTTAudioPlayer,master
LGoodacre_context,master
LJaschinski_PDS_sonification,master
LSUMILL_Pitch-Canvas,master
LSka_Hexagram,master
LaChapeliere_preemieAlert,master
LaSchorli_DonkeyKong,master
LabIO_AirPlay,master
LabIO_AriaPlay_Poemacto,master
LabIO_BolihasDeChoque,master
LabIO_CabaretDigital,master
LabIO_DSS,master
LabIO_EPI-game,master
LabIO_HackedPoems,master
LabIO_LabIO_Pd_tools,master
LabIO_LooperAcc,master
LabIO_Nextstop,master
LabIO_Onyricum,master
LabIO_Orquestra-Digital,master
LabIO_Sonarx-45,master
LabIO_Synestheatre,master
LabIO_Workshop-BI,master
LabIO_android_looper,master
LabIO_barulhometro,master
LabIO_dist2leds_adao,main
LabIO_floating_poem,master
LabIO_harmonics_synth,master
LabIO_ledtree,master
LabIO_osc_looper,master
LabIO_sound2img,master
LabIO_workshop_RPiAudio,master
LabSound_LabSound,main
LajosSzabo_Musicmath,master
